Generations, Best Fitness
1,2162
2,2162
3,2162
4,2162
5,2162
6,2162
7,2162
8,2162
9,2162
10,2162
11,2162
12,2162
13,2162
14,2162
15,2162
16,2162
17,2162
18,2162
19,2162
20,2162
21,2162
22,2162
23,2162
24,2162
25,2162
26,2162
27,2162
28,2162
29,2162
30,2162
31,2162
32,2162
33,2162
34,2162
35,2162
36,2162
37,2162
38,2162
39,2162
40,2162
41,2162
42,2162
43,2162
44,2162
45,2162
46,2162
47,2162
48,2162
49,2162
50,2162
51,2162
52,2162
53,2162
54,2162
55,2162
56,2162
57,2162
58,2162
59,2162
60,2162
61,2162
62,2162
63,2162
64,2162
65,2162
66,2162
67,2162
68,2162
69,2162
70,2162
71,2162
72,2162
73,2162
74,2162
75,2162
76,2162
77,2162
78,2162
79,2162
80,2162
81,2162
82,2162
83,2162
84,2162
85,2162
86,2162
87,2162
88,2162
89,2162
90,2162
91,2162
92,2162
93,2162
94,2162
95,2162
96,2162
97,2162
98,2162
99,2162
100,2162
101,2162
102,2162
103,2162
104,2162
105,2162
106,2162
107,2162
108,2162
109,2162
110,2162
111,2162
112,2162
113,2162
114,2162
115,2162
116,2162
117,2162
118,2162
119,2162
120,2162
121,2162
122,2162
123,2162
124,2162
125,2162
126,2162
127,2162
128,2162
129,2162
130,2162
131,2162
132,2162
133,2162
134,2162
135,2162
136,2162
137,2162
138,2042
139,2027
140,2027
141,2027
142,2027
143,2027
144,2027
145,2027
146,2027
147,2027
148,2027
149,2027
150,2027
151,2027
152,2027
153,2027
154,2027
155,2027
156,2027
157,2027
158,2027
159,2027
160,2027
161,2027
162,2027
163,2027
164,2027
165,2027
166,2027
167,2027
168,2027
169,2027
170,2027
171,2027
172,2027
173,2027
174,2027
175,2027
176,2027
177,2027
178,2027
179,2027
180,2027
181,2027
182,2027
183,2027
184,2027
185,2027
186,2027
187,2027
188,2027
189,2027
190,2027
191,2027
192,2027
193,2027
194,2027
195,2027
196,2027
197,2027
198,2027
199,2027
200,2027
201,2027
202,2027
203,2027
204,2027
205,2027
206,2027
207,2027
208,2027
209,2027
210,2027
211,2027
212,2027
213,2027
214,2027
215,2027
216,2027
217,2027
218,2027
219,2027
220,2027
221,2027
222,2027
223,2027
224,2027
225,2027
226,2027
227,2027
228,2027
229,2027
230,2027
231,2027
232,2027
233,2026
234,2026
235,2026
236,2026
237,2026
238,2026
239,2026
240,2026
241,2026
242,2026
243,2026
244,2026
245,2026
246,2026
247,2026
248,2026
249,2026
250,2026
251,2026
252,2026
253,2026
254,2026
255,2026
256,2026
257,2026
258,2026
259,2026
260,2026
261,2026
262,2026
263,2026
264,2026
265,2026
266,2026
267,2026
268,2026
269,2026
270,2026
271,2026
272,2026
273,2026
274,2026
275,2026
276,2026
277,2026
278,2026
279,2026
280,2026
281,2026
282,2026
283,2026
284,2026
285,2024
286,2024
287,2024
288,2024
289,2024
290,2024
291,2024
292,2024
293,2024
294,2024
295,2024
296,2024
297,2024
298,2024
299,2024
300,2024
